album	artist	genre	score	author	date	link	genre_num
Sgt. Pepper's Lonely Hearts Club Band	The Beatles	Rock	10.0	Scott Plagenhoef	September 9 2009	https://pitchfork.com/reviews/albums/13435-sgt-peppers-lonely-hearts-club-band/	7
Neil Young	Neil Young	Rock	7.8	Mark Richardson	December 11 2009	https://pitchfork.com/reviews/albums/13771-neil-young-everybody-knows-this-is-nowhere-after-the-gold-rush-harvest/	7
Led Zeppelin IV	Led Zeppelin	Rock	9.1	Mark Richardson	February 24 2015	https://pitchfork.com/reviews/albums/19834-led-zeppelin-ivhouses-of-the-holyphysical-graffiti/	7
Rock Band	The Beatles	Rock	9.5	Chris Dahlen	September 9 2009	https://pitchfork.com/reviews/albums/13443-rock-band/	7
Dry	PJ Harvey	Rock	9.2	Laura Snapes	August 14 2016	https://pitchfork.com/reviews/albums/22131-dry/	7
The Velvet Underground & Nico 45th Anniversary [Super Deluxe]	The Velvet Underground	Rock	9.0	Miles Raymer	November 20 2012	https://pitchfork.com/reviews/albums/17129-the-velvet-underground-nico/	7
Pablo Honey: Collector's Edition	Radiohead	Rock	5.4	Scott Plagenhoef	April 16 2009	https://pitchfork.com/reviews/albums/12938-pablo-honey-collectors-edition-the-bends-collectors-edition-ok-computer-collectors-edition/	7
Something Else	The Kinks	Rock	9.3	Luc Sante	March 25 2018	https://pitchfork.com/reviews/albums/the-kinks-something-else/	7
Automatic for the People	R.E.M.	Rock	9.3	Stuart Berman	November 14 2017	https://pitchfork.com/reviews/albums/rem-automatic-for-the-people/	7
The Complete Motown Singles, Vol. 7: 1967	Various Artists	nan	9.9	Joe Tangari	August 16 2007	https://pitchfork.com/reviews/albums/10544-the-complete-motown-singles-vol-7-1967/	9
The Queen Is Dead	The Smiths	Rock	10.0	Simon Reynolds	October 22 2017	https://pitchfork.com/reviews/albums/the-smiths-the-queen-is-dead/	7
The Name of This Band Is Talking Heads	Talking Heads	Rock	9.2	Scott Plagenhoef	August 24 2004	https://pitchfork.com/reviews/albums/8266-the-name-of-this-band-is-talking-heads/	7
Listen to What the Man Said: Popular Artists Pay Tribute to the Music of Paul McCartney	Various Artists	nan	5.0	Joe Tangari	December 16 2001	https://pitchfork.com/reviews/albums/5177-listen-to-what-the-man-said-popular-artists-pay-tribute-to-the-music-of-paul-mccartney/	9
Echoes	The Rapture	Electronic,Rock	9.0	Ryan Schreiber	September 9 2003	https://pitchfork.com/reviews/albums/6693-echoes/	2
Green: 25th Anniversary Deluxe Edition	R.E.M.	Rock	8.4	Stephen M. Deusner	May 14 2013	https://pitchfork.com/reviews/albums/18049-rem-green-25th-anniversary-deluxe-edition/	7
The Best Of	Radiohead	Rock	4.0	Scott Plagenhoef	June 5 2008	https://pitchfork.com/reviews/albums/11686-the-best-ofthe-best-of-special-edition/	7
The Yes Album	Yes	Rock	8.1	Chris Dahlen, Dominique Leone & Joe Tangari	February 8 2004	https://pitchfork.com/reviews/albums/11869-the-yes-album-fragile-close-to-the-edge-tales-from-topographic-oceans-relayer-going-for-the-one-tormato-drama-90125/	7
Presence	Led Zeppelin	Rock	7.6	Mark Richardson	July 28 2015	https://pitchfork.com/reviews/albums/20668-presence-in-through-the-out-door-coda/	7
The B-52’s	The B-52’s	Electronic,Rock	9.0	Susan Elizabeth Shepard	October 14 2018	https://pitchfork.com/reviews/albums/the-b-52s-the-b-52s/	2
The Future's Void	EMA	Rock	7.4	Mark Richardson	April 10 2014	https://pitchfork.com/reviews/albums/19208-ema-the-futures-void/	7
Live at the Olympia	R.E.M.	Rock	7.4	Matthew Perpetua	October 29 2009	https://pitchfork.com/reviews/albums/13641-live-at-the-olympia/	7
Hail to the Thief: Special Collectors Edition	Radiohead	Rock	8.6	Joe Tangari	August 27 2009	https://pitchfork.com/reviews/albums/13384-hail-to-the-thief-special-collectors-edition/	7
Speak & Spell	Depeche Mode	Electronic,Rock	7.5	Nitsuh Abebe	July 20 2006	https://pitchfork.com/reviews/albums/11881-speak-spell-music-for-the-masses-violator/	2
Singles	New Order	Rock	8.3	Nitsuh Abebe	December 7 2005	https://pitchfork.com/reviews/albums/5770-singles/	7
Bandwagonesque	Teenage Fanclub	Rock	8.7	Sam Sodomsky	August 11 2018	https://pitchfork.com/reviews/albums/teenage-fanclub-bandwagonesque-thirteen-grand-prix-songs-from-northern-britain-howdy/	7
Purple Snow: Forecasting the Minneapolis Sound	Various Artists	nan	8.4	Nate Patrin	November 25 2013	https://pitchfork.com/reviews/albums/18658-purple-snow-forecasting-the-minneapolis-sound/	9
Head [Deluxe Edition]	The Jesus Lizard	Rock	8.1	Jason Crock	October 27 2009	https://pitchfork.com/reviews/albums/13636-head-goat-liar-down/	7
U.S. Singles Collection: The Capitol Years (1962-1965)	The Beach Boys	Rock	8.3	Joe Tangari	June 13 2008	https://pitchfork.com/reviews/albums/11603-us-singles-collection-the-capitol-years-1962-1965/	7
Tim	The Replacements	Rock	8.7	Mark Richardson	September 26 2008	https://pitchfork.com/reviews/albums/12266-tim-pleased-to-meet-me-dont-tell-a-soul-all-shook-down/	7
Ride the Lightning	Metallica	Metal	10.0	Saby Reyes-Kulkarni	April 13 2016	https://pitchfork.com/reviews/albums/21755-kill-em-allride-the-lightning/	8
Future Days	Can	Experimental	8.8	Dominique Leone	July 12 2005	https://pitchfork.com/reviews/albums/11699-future-days-soon-over-babaluma-unlimited-edition-landed/	0
The Complete Motown Singles, Vol. 10: 1970	Various Artists	nan	9.0	Joe Tangari	August 14 2008	https://pitchfork.com/reviews/albums/12094-the-complete-motown-singles-vol-10-1970/	9
Interpol	Interpol	Rock	4.6	Nitsuh Abebe	September 14 2010	https://pitchfork.com/reviews/albums/14641-interpol/	7
Sticks and Stones May Break My Bones but Words Will Never Hurt Me	No-Neck Blues Band	Experimental,Rock	9.0	David M. Pecoraro	January 15 2002	https://pitchfork.com/reviews/albums/5816-sticks-and-stones-may-break-my-bones-but-words-will-never-hurt-me/	0
3 Feet High and Rising	De La Soul	Rap	10.0	Jeff Chang	September 23 2018	https://pitchfork.com/reviews/albums/de-la-soul-3-feet-high-and-rising/	4
The Holy Bible	Manic Street Preachers	Rock	8.4	Joe Tangari	January 17 2005	https://pitchfork.com/reviews/albums/5074-the-holy-bible/	7
Solid Steel Presents: Now, Listen!	DJ Food	Electronic,Jazz	8.4	David M. Pecoraro	December 9 2001	https://pitchfork.com/reviews/albums/2358-solid-steel-presents-now-listen/	2
Isn't Anything	My Bloody Valentine	Experimental,Rock	10.0	Mark Richardson	May 11 2012	https://pitchfork.com/reviews/albums/16605-isnt-anything-reissue-loveless-reissue-eps-1988-1991/	0
Mx6: Twitch's 60 Minutes of Fear	JD Twitch	Electronic	8.4	Philip Sherburne	January 29 2009	https://pitchfork.com/reviews/albums/12567-mx6-twitchs-60-minutes-of-fear-sleepwalk/	2
This Station Is Non-Operational	At the Drive In	Rock	8.3	Jason Crock	June 1 2005	https://pitchfork.com/reviews/albums/330-this-station-is-non-operational/	7
Homogenic	Björk	Electronic,Pop/R&B	10.0	Philip Sherburne	February 5 2017	https://pitchfork.com/reviews/albums/22835-homogenic/	2
Reasonable Doubt	JAY-Z	Rap	9.4	Jayson Greene	May 14 2017	https://pitchfork.com/reviews/albums/23194-reasonable-doubt/	4
The Diary	Scarface	Rap	9.3	Hanif Abdurraqib	March 4 2018	https://pitchfork.com/reviews/albums/scarface-the-diary/	4
The Writing’s on the Wall	Destiny’s Child	Pop/R&B	9.0	Katherine St. Asaph	June 18 2017	https://pitchfork.com/reviews/albums/destinys-child-the-writings-on-the-wall/	3
Complete A and B Sides 1963-1970	Dusty Springfield	Pop/R&B	8.5	Joe Tangari	January 5 2007	https://pitchfork.com/reviews/albums/9696-complete-a-and-b-sides-1963-1970/	3
Bad Timing	Jim O’Rourke	Experimental	9.1	Mark Richardson	February 12 2017	https://pitchfork.com/reviews/albums/22870-bad-timing/	0
The Essential Byrds	The Byrds	Rock	8.4	Joe Tangari	May 13 2003	https://pitchfork.com/reviews/albums/1058-the-essential-byrds/	7
Children of Nuggets: Original Artyfacts from the Second Psychedelic Era 1976-1996	Various Artists	nan	8.6	Joe Tangari	September 29 2005	https://pitchfork.com/reviews/albums/1972-children-of-nuggets-original-artyfacts-from-the-second-psychedelic-era-1976-1996/	9
Just Say Sire	Various Artists	nan	6.7	Nitsuh Abebe	September 27 2005	https://pitchfork.com/reviews/albums/2099-just-say-sire/	9
The Power of Failing	Mineral	Rock	8.5	Brandon Stosuy	October 29 2014	https://pitchfork.com/reviews/albums/19688-mineral-the-power-of-failingendserenading/	7
If You're Feeling Sinister: Live at the Barbican	Belle and Sebastian	Rock	9.1	Scott Plagenhoef	January 11 2006	https://pitchfork.com/reviews/albums/638-if-youre-feeling-sinister-live-at-the-barbican/	7
Use with Headphones Late at Night: Best of 1990-2000	Tadpoles	Rock	7.5	Joe Tangari	February 19 2002	https://pitchfork.com/reviews/albums/7915-use-with-headphones-late-at-night-best-of-1990-2000/	7
Anthology	Can	Experimental	8.8	Joe Tangari	October 30 2007	https://pitchfork.com/reviews/albums/10844-anthology/	0
Celebration Rock	Japandroids	Rock	8.8	Ian Cohen	May 29 2012	https://pitchfork.com/reviews/albums/16564-japandroids-celebration-rock/	7
Live Through This	Hole	Rock	10.0	Sasha Geffen	June 3 2018	https://pitchfork.com/reviews/albums/hole-live-through-this/	7
Three Futures	Torres	Rock	8.0	Philip Sherburne	October 11 2017	https://pitchfork.com/reviews/albums/torres-three-futures/	7
Schools of Thought Contend	From Monument to Masses	Rock	6.4	Cory D. Byrom	October 27 2005	https://pitchfork.com/reviews/albums/3351-schools-of-thought-contend/	7
Forever Changes [Collector's Edition]	Love	Rock	8.6	Stephen M. Deusner	April 25 2008	https://pitchfork.com/reviews/albums/11429-forever-changes-collectors-edition/	7
Oscillons From the Anti-Sun	Stereolab	Experimental	8.0	Nitsuh Abebe	April 28 2005	https://pitchfork.com/reviews/albums/7503-oscillons-from-the-anti-sun/	0
Revolver	The Beatles	Rock	10.0	Scott Plagenhoef	September 9 2009	https://pitchfork.com/reviews/albums/13434-revolver/	7
Come on Pilgrim	Pixies	Rock	8.3	Mike Powell	April 25 2014	https://pitchfork.com/reviews/albums/19282-pixies-catalogue/	7
Father, Son, Holy Ghost	Girls	Rock	9.3	Mark Richardson	September 12 2011	https://pitchfork.com/reviews/albums/15811-father-son-holy-ghost/	7
NTS Sessions 1-4	Autechre	Electronic	8.2	Andrew Nosnitsky	May 15 2018	https://pitchfork.com/reviews/albums/autechre-nts-sessions-1-4/	2
The Hope Six Demolition Project	PJ Harvey	Rock	7.6	Laura Snapes	April 14 2016	https://pitchfork.com/reviews/albums/21698-the-hope-six-demolition-project/	7
Sticky Fingers	The Rolling Stones	Rock	10.0	Mark Richardson	June 19 2015	https://pitchfork.com/reviews/albums/20483-sticky-fingers/	7
The Great Destroyer	Low	Rock	5.5	David Raposa	January 26 2005	https://pitchfork.com/reviews/albums/4902-the-great-destroyer/	7
The Complete Motown Singles, Vol. 8: 1968	Various Artists	nan	9.2	Joe Tangari	December 14 2007	https://pitchfork.com/reviews/albums/10970-the-complete-motown-singles-vol-8-1968/	9
Endtroducing... [Deluxe Edition]	DJ Shadow	Electronic	10.0	Chris Dahlen	June 9 2005	https://pitchfork.com/reviews/albums/2377-endtroducing-deluxe-edition/	2
Purple Rain	Prince, The Revolution	Pop/R&B,Rock	10.0	Carvell Wallace	April 29 2016	https://pitchfork.com/reviews/albums/21841-purple-rain/	3
Past Masters	The Beatles	Rock	9.2	Douglas Wolk	September 10 2009	https://pitchfork.com/reviews/albums/13408-past-masters/	7
The Studio Albums 1968-1979	Joni Mitchell	Rock	8.0	Jessica Hopper	November 9 2012	https://pitchfork.com/reviews/albums/17269-the-studio-albums-1968-1979/	7
In on the Kill Taker	Fugazi	Rock	8.6	Jason Diamond	April 30 2017	https://pitchfork.com/reviews/albums/23209-in-on-the-kill-taker/	7
Love Remains	How to Dress Well	Pop/R&B	8.7	Mark Richardson	September 24 2010	https://pitchfork.com/reviews/albums/14678-love-remains/	3
A Dot in Time	The Books	Experimental,Rock	8.4	Mark Richardson	August 3 2012	https://pitchfork.com/reviews/albums/17003-a-dot-in-time/	0
Behaviour	Pet Shop Boys	Electronic	8.5	Barry Walters	January 29 2017	https://pitchfork.com/reviews/albums/22753-behaviour/	2
The Complete Motown Singles, Vol. 9: 1969	Various Artists	nan	9.4	Joe Tangari	February 28 2008	https://pitchfork.com/reviews/albums/11203-the-complete-motown-singles-vol-9-1969/	9
Around the World in a Day	Prince, The Revolution	Pop/R&B,Rock	8.8	Alan Light	April 29 2016	https://pitchfork.com/reviews/albums/21847-around-the-world-in-a-day/	3
Pretty Together	Sloan	Rock	6.6	Joe Tangari	November 28 2001	https://pitchfork.com/reviews/albums/7246-pretty-together/	7
The Regal Years: 1997-2004	The Beta Band	Rock	8.4	Stuart Berman	November 4 2013	https://pitchfork.com/reviews/albums/18603-the-beta-band-the-regal-years-1997-2004/	7
4:13 Dream	The Cure	Rock	6.7	Nitsuh Abebe	October 31 2008	https://pitchfork.com/reviews/albums/12380-413-dream/	7
Easter	Patti Smith Group	Rock	8.8	Caryn Rose	May 28 2017	https://pitchfork.com/reviews/albums/23244-easter/	7
Plays One Sound and Others	Knife in the Water	Electronic	8.4	Andy Beta	October 21 2003	https://pitchfork.com/reviews/albums/11770-plays-one-sound-and-others-red-river-cut-the-cord/	2
Hounds of Love	Kate Bush	Pop/R&B	10.0	Barry Walters	June 12 2016	https://pitchfork.com/reviews/albums/21964-hounds-of-love/	3
Rearviewmirror (Greatest Hits 1991-2003)	Pearl Jam	Rock	5.9	Scott Plagenhoef	November 16 2004	https://pitchfork.com/reviews/albums/6209-rearviewmirror-greatest-hits-1991-2003/	7
The Black Album	JAY-Z	Rap	8.0	The Pitchfork Staff	November 16 2003	https://pitchfork.com/reviews/albums/4219-the-black-album/	4
Time Out of Mind	Bob Dylan	Rock	9.4	Grayson Haver Currin	May 13 2018	https://pitchfork.com/reviews/albums/bob-dylan-time-out-of-mind/	7
Mama’s Gun	Erykah Badu	Pop/R&B	9.4	Daphne A. Brooks	September 25 2016	https://pitchfork.com/reviews/albums/22045-mamas-gun/	3
Movement	New Order	Rock	9.3	Tom Ewing	November 10 2008	https://pitchfork.com/reviews/albums/12418-movement-power-corruption-and-lies-low-life-brotherhood-technique-deluxe-editions/	7
Caustic Window LP	Caustic Window	nan	8.1	Mark Richardson	June 30 2014	https://pitchfork.com/reviews/albums/19574-aphex-twin-caustic-window/	9
The Rise & Fall of Paramount Records, Volume One (1917-1932)	Various Artists	nan	9.2	Grayson Currin	November 22 2013	https://pitchfork.com/reviews/albums/18703-the-rise-fall-of-paramount-records-volume-one-1917-1932/	9
Trilogy	The Weeknd	Pop/R&B	8.5	Ian Cohen	November 13 2012	https://pitchfork.com/reviews/albums/17280-the-trilogy/	3
Living Water	Shannon Lay 	Folk/Country	7.8	Philip Sherburne	September 25 2017	https://pitchfork.com/reviews/albums/shannon-lay-living-water/	6
Push Barman to Open Old Wounds	Belle and Sebastian	Rock	9.2	Scott Plagenhoef	May 25 2005	https://pitchfork.com/reviews/albums/637-push-barman-to-open-old-wounds/	7
BBC Radio 1: Established 1967	Various Artists	nan	3.4	Nitsuh Abebe	November 2 2007	https://pitchfork.com/reviews/albums/10859-bbc-radio-1-established-1967/	9
The Smiths Complete	The Smiths	Rock	8.1	Douglas Wolk	November 18 2011	https://pitchfork.com/reviews/albums/16027-the-smiths-complete/	7
Bedhead: 1992-1998	Bedhead	Rock	8.5	Mark Richardson	November 14 2014	https://pitchfork.com/reviews/albums/19717-bedhead-bedhead-1992-1998/	7
Midlife: A Beginner's Guide to Blur	Blur	Rock	9.4	Scott Plagenhoef	July 30 2009	https://pitchfork.com/reviews/albums/13168-midlife-a-beginners-guide-to-blur/	7
Rebore, Vol. 0: Vision Recreation	Boredoms	Experimental	8.4	Dominique Leone	October 7 2001	https://pitchfork.com/reviews/albums/865-rebore-vol-0-vision-recreation/	0
Ruins	Grouper	Experimental	8.8	Philip Sherburne	October 28 2014	https://pitchfork.com/reviews/albums/19820-grouper-ruins/	0
Goodbye, Babylon	Various Artists	nan	9.5	Andrew Bryant	March 16 2004	https://pitchfork.com/reviews/albums/2039-goodbye-babylon/	9
The New Folk Implosion	The Folk Implosion	Experimental,Rock	4.6	Eric Carr	March 11 2003	https://pitchfork.com/reviews/albums/3140-the-new-folk-implosion/	0
Snowball + Singles	The Field Mice	Rock	7.8	Nitsuh Abebe	March 16 2005	https://pitchfork.com/reviews/albums/11748-snowball-and-singles-skywriting-and-singles-for-keeps-and-singles/	7
Big Star Story	Big Star	Rock	4.0	Joe Tangari	October 2 2003	https://pitchfork.com/reviews/albums/1078-big-star-story/	7
Asleep in the Back [Deluxe Edition]	Elbow	Rock	8.4	Ian Cohen	December 7 2009	https://pitchfork.com/reviews/albums/13728-asleep-in-the-back-deluxe-edition/	7
Part Lies, Part Heart, Part Truth, Part Garbage: 1982-2011	R.E.M.	Rock	9.4	Matthew Perpetua	November 15 2011	https://pitchfork.com/reviews/albums/16032-part-lies-part-heart-part-truth-part-garbage-1982-2011/	7
The Double Cross	Sloan	Rock	8.1	Joe Tangari	May 17 2011	https://pitchfork.com/reviews/albums/15407-the-double-cross/	7
Freedom Highway Complete	The Staple Singers	Rock	8.7	Stephen M. Deusner	February 17 2015	https://pitchfork.com/reviews/albums/20155-freedom-highway-completedont-lose-this/	7
Perfect From Now On	Built to Spill	Rock	9.2	Steve Kandell	April 29 2018	https://pitchfork.com/reviews/albums/built-to-spill-perfect-from-now-on/	7
Live	R.E.M.	Rock	5.8	Stephen M. Deusner	October 16 2007	https://pitchfork.com/reviews/albums/10788-live/	7
Wailing	Wailing Souls	Global	8.7	Michael E. Veal	March 19 2017	https://pitchfork.com/reviews/albums/23024-wailing/	1
Bootleg Series, Vol. 10: Another Self Portrait (1969-1971)	Bob Dylan	Rock	8.7	Mark Richardson	August 30 2013	https://pitchfork.com/reviews/albums/18402-bob-dylan-bootleg-series-vol-10-another-self-portrait-1969-1971/	7
Can DVD	Can	Experimental	8.0	Dominique Leone	January 4 2004	https://pitchfork.com/reviews/albums/1272-can-dvd/	0
For Those Of You Who Have Never (And Also Those Who Have)	Huerco S.	Experimental	8.1	Philip Sherburne	June 13 2016	https://pitchfork.com/reviews/albums/21885-for-those-of-you-who-have-never-and-also-those-who-have/	0
Live in New York	The Doors	Rock	7.0	Chris Dahlen	November 20 2009	https://pitchfork.com/reviews/albums/13721-live-in-new-york/	7
Love Is the Song We Sing: San Francisco Nuggets 1965-1970	Various Artists	nan	8.2	Joe Tangari	September 21 2007	https://pitchfork.com/reviews/albums/10653-love-is-the-song-we-sing-san-francisco-nuggets-1965-1970/	9
He’s the DJ, I’m the Rapper	DJ Jazzy Jeff & The Fresh Prince	Rap	7.2	Jayson Greene	October 1 2017	https://pitchfork.com/reviews/albums/dj-jazzy-jeff-and-the-fresh-prince-hes-the-dj-im-the-rapper/	4
Supreme Clientele	Ghostface Killah	Rap	10.0	Jeff Weiss	June 4 2017	https://pitchfork.com/reviews/albums/23207-supreme-clientele/	4
The BBC Sessions	Belle and Sebastian	Rock	7.9	Scott Plagenhoef	November 19 2008	https://pitchfork.com/reviews/albums/12443-the-bbc-sessions/	7
Another Green World	Brian Eno	Experimental	10.0	Mike Powell	September 18 2016	https://pitchfork.com/reviews/albums/22061-another-green-world/	0
Mobius Fuse	Olivia Block	Electronic	9.3	David M. Pecoraro	December 6 2001	https://pitchfork.com/reviews/albums/803-mobius-fuse/	2
Disintegration [Deluxe Edition]	The Cure	Rock	10.0	Nitsuh Abebe	June 10 2010	https://pitchfork.com/reviews/albums/14288-disintegration-deluxe-edition/	7
Help: A Day in the Life	Various Artists	nan	5.5	Scott Plagenhoef	September 11 2005	https://pitchfork.com/reviews/albums/2097-help-a-day-in-the-life/	9
London Conversations: The Best of Saint Etienne	Saint Etienne	Electronic,Rock	8.8	Scott Plagenhoef	October 2 2008	https://pitchfork.com/reviews/albums/12282-london-conversations-the-best-of-saint-etienne/	2
Be Here Now	Oasis	Rock	5.3	Laura Snapes	October 8 2016	https://pitchfork.com/reviews/albums/22318-be-here-now/	7
Music From Big Pink	The Band	Rock	9.4	Stephen Thomas Erlewine	September 1 2018	https://pitchfork.com/reviews/albums/the-band-music-from-big-pink/	7
Let It Be	The Beatles	Rock	9.1	Mark Richardson	September 10 2009	https://pitchfork.com/reviews/albums/13430-let-it-be/	7
Sunflower/Surf's Up	The Beach Boys	Rock	8.9	Hefner Macauley	July 18 2000	https://pitchfork.com/reviews/albums/11665-sunflowersurfs-up/	7
Born to Run: 30th Anniversary Edition	Bruce Springsteen	Rock	10.0	Mark Richardson	November 18 2005	https://pitchfork.com/reviews/albums/7728-born-to-run-30th-anniversary-edition/	7
I Hate CDs! Norton 45s	Various Artists	nan	7.9	Joe Tangari	February 22 2008	https://pitchfork.com/reviews/albums/11146-i-hate-cds-norton-45s/	9
The Singles	The Clash	Rock	8.0	Mark Richardson	November 20 2006	https://pitchfork.com/reviews/albums/9640-the-singles/	7
Good Evening New York City	Paul McCartney	Rock	5.9	David Raposa	December 3 2009	https://pitchfork.com/reviews/albums/13753-good-evening-new-york-city/	7
Direction Reaction Creation	The Jam	Rock	8.3	Joe Tangari	February 9 2007	https://pitchfork.com/reviews/albums/11898-direction-reaction-creation-hit-parade/	7
The Ghosts of Highway 20	Lucinda Williams	Folk/Country	8.0	Grayson Haver Currin	February 1 2016	https://pitchfork.com/reviews/albums/21472-the-ghosts-of-highway-20/	6
Trax Records: 20th Anniversary Collection	Various Artists	nan	9.1	Scott Plagenhoef	September 27 2004	https://pitchfork.com/reviews/albums/2054-trax-records-20th-anniversary-collection/	9
A Rush of Blood to the Head	Coldplay	Rock	5.1	Joe Tangari	September 8 2002	https://pitchfork.com/reviews/albums/1538-a-rush-of-blood-to-the-head/	7
Mourning in America and Dreaming in Color	Brother Ali	Rap	7.9	Nate Patrin	September 19 2012	https://pitchfork.com/reviews/albums/16941-brother-ali-mourning-in-america-and-dreaming-in-color/	4
Blood on the Tracks	Bob Dylan	Rock	10.0	Jesse Jarnow	October 30 2016	https://pitchfork.com/reviews/albums/22485-blood-on-the-tracks/	7
Sai	Rovo	nan	8.2	Dominique Leone	February 28 2002	https://pitchfork.com/reviews/albums/6845-sai/	9
Reputation	Taylor Swift	Pop/R&B	6.5	Jamieson Cox	November 13 2017	https://pitchfork.com/reviews/albums/taylor-swift-reputation/	3
